no,year,journal,title,doi,pmid,pmcid,isOpenAccess,doi_url
1,2026,Studies in health technology and informatics,Distribution Shift Analysis in Generalizable Modelling: Intensive Care Time-Series Data.,10.3233/shti260163,42174839,,N,https://doi.org/10.3233/shti260163
2,2026,Statistics in medicine,Rank-Based Transfer Learning for High-Dimensional Survival Data With Application to Sepsis Data.,10.1002/sim.70629,42227714,,N,https://doi.org/10.1002/sim.70629
3,2026,Scientific reports,Evaluating cross-dataset transfer learning for photoplethysmography-based blood pressure estimation.,10.1038/s41598-026-43409-8,41906013,PMC13039200,Y,https://doi.org/10.1038/s41598-026-43409-8
4,2026,Scientific reports,Development of AI based behavioral feature patterns on influencing asymptomatic cardiovascular disease attributes: a dataset standardization approach.,10.1038/s41598-026-52859-z,42168274,,N,https://doi.org/10.1038/s41598-026-52859-z
5,2026,NPJ digital medicine,Evaluating deep learning sepsis prediction models in ICUs under distribution shift: a multi-centre retrospective cohort study.,10.1038/s41746-026-02364-4,41775890,PMC13066616,Y,https://doi.org/10.1038/s41746-026-02364-4
6,2026,Journal of the American Medical Informatics Association : JAMIA,Transport-based transfer learning on Electronic Health Records: application to detection of treatment disparities.,10.1093/jamia/ocaf134,40901720,PMC12758479,Y,https://doi.org/10.1093/jamia/ocaf134
7,2026,Journal of intensive care medicine,A Lightweight LSTM-Transformer Fusion Architecture for Real-Time Sepsis Mortality Prediction.,10.1177/08850666261447860,42089722,,N,https://doi.org/10.1177/08850666261447860
8,2026,Journal of imaging informatics in medicine,Domain Shift Analysis in Chest Radiographs Classification in a Veterans Healthcare Administration Population.,10.1007/s10278-025-01494-7,40216674,PMC12921069,Y,https://doi.org/10.1007/s10278-025-01494-7
9,2026,IEEE transactions on bio-medical engineering,A Deep Bidirectional LSTM Model Enhanced by Transfer-Learning for the Classification of Peripheral Arterial Blood Pressure Waveforms.,10.1109/tbme.2026.3696494,42184174,,N,https://doi.org/10.1109/tbme.2026.3696494
10,2026,IEEE journal of biomedical and health informatics,Tailored to Fit Sepsis Individuals: Medical Knowledge Aware Reinforcement Learning Model Offers Optimized Therapeutic Strategies.,10.1109/jbhi.2025.3647877,41442288,,N,https://doi.org/10.1109/jbhi.2025.3647877
11,2026,IEEE journal of biomedical and health informatics,MediPhen: Prompt-Based LLM Reasoning with Synthesized Multimodal Clinical Knowledge for Zero-Shot Multi-morbidity Phenotyping.,10.1109/jbhi.2026.3689887,42081405,,N,https://doi.org/10.1109/jbhi.2026.3689887
12,2026,Health data science,Integrating Electronic Health Records and Large Language Models for Coarse-to-Fine Hybrid Disease Prediction.,10.34133/hds.0466,42267077,,N,https://doi.org/10.34133/hds.0466
13,2026,"Diagnostics (Basel, Switzerland)",A Real-Time Dynamic Warning Method for MODS in Trauma Sepsis Patients Based on a Pre-Trained Transfer Learning Algorithm.,10.3390/diagnostics16020270,41594246,PMC12840517,Y,https://doi.org/10.3390/diagnostics16020270
14,2026,"Critical care (London, England)",Multi-source data integration through pooling and transfer learning improves generalizability and specialization of deep learning models for ICU mortality and length of stay prediction: a four-database external validation study.,10.1186/s13054-026-06034-5,42151996,,N,https://doi.org/10.1186/s13054-026-06034-5
15,2026,Computers in biology and medicine,Electrocardiogram-based short-term risk stratification for acute kidney injury using time-frequency deep learning analysis.,10.1016/j.compbiomed.2026.111778,42242104,,N,https://doi.org/10.1016/j.compbiomed.2026.111778
16,2026,Cambridge prisms. Coastal futures,Toward transferable models for efficient spatiotemporal flood prediction across coastal-estuarine systems.,10.1017/cft.2026.10037,42327848,PMC13276722,Y,https://doi.org/10.1017/cft.2026.10037
17,2026,Bioprocess and biosystems engineering,Limits and benefits of unsupervised transfer learning for Raman spectroscopy-based bioprocess monitoring.,10.1007/s00449-026-03394-8,42517906,,N,https://doi.org/10.1007/s00449-026-03394-8
18,2026,BMC nephrology,Development and external validation of a machine learning model for predicting post-CABG acute kidney injury: insights from MIMIC database and real-world cardiac surgery cohort.,10.1186/s12882-026-05109-3,42265655,,N,https://doi.org/10.1186/s12882-026-05109-3
19,2026,BMC medical informatics and decision making,Enhancing stratification for survival analyses across standardized data sources.,10.1186/s12911-026-03666-z,42443871,,N,https://doi.org/10.1186/s12911-026-03666-z
